restaurant_name,restaurant_type,rate_out_of_5,num_of_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local_address,orders,revenue,cost,profit,profit_margin
154 Breakfast Club,Cafe,4.0,1509,900.0,Yes,Yes,"Cafe, Continental","Byresandra,Tavarekere,Madiwala",Koramangala 3rd Block,4.0,3600.0,2520.0,1080.0,30.0
1722 Urban Bistro,Casual Dining,4.1,218,600.0,Yes,Yes,"North Indian, Chinese, Fast Food, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,4.1,2460.0,1722.0,738.0,30.0
18+ Ice Cafe,Cafe,3.5,24,550.0,No,No,"Cafe, Fast Food, Chinese, Beverages",Kalyan Nagar,Kammanahalli,3.5,1925.0,1347.5,577.5,30.0
1947,Casual Dining,3.9,620,1000.0,No,Yes,"North Indian, Chinese, Continental",Rajajinagar,Rajajinagar,3.9,3900.0,2730.0,1170.0,30.0
1980s Games Cafe,Cafe,3.4,58,400.0,Yes,No,"Cafe, Fast Food",Banashankari,Basavanagudi,3.4,1360.0,951.9999999999999,408.0000000000001,30.00000000000001
1992 Chats - Space,Quick Bites,3.7,33,200.0,Yes,No,Street Food,Malleshwaram,Rajajinagar,3.7,740.0,518.0,222.0,30.0
1Q1,"Casual Dining, Bar",4.3,595,2500.0,No,Yes,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",Brigade Road,Infantry Road,4.3,10750.0,7524.999999999999,3225.000000000001,30.00000000000001
1TO3 Kitchen,Delivery,3.1,11,800.0,No,No,"North Indian, Chinese, Continental, Italian, South Indian",Marathahalli,Marathahalli,3.1,2480.0,1736.0,744.0,30.0
2 Statez,Casual Dining,3.7,209,600.0,Yes,No,"Kerala, Seafood, South Indian, North Indian, Chinese",Kalyan Nagar,Kalyan Nagar,3.7,2220.0,1554.0,666.0,30.0
20 Char - Sterlings MAC Hotel,"Casual Dining, Bar",4.0,419,1400.0,Yes,Yes,"Chinese, Continental, North Indian, South Indian, Arabian",Indiranagar,Old Airport Road,4.0,5600.0,3919.9999999999995,1680.0000000000005,30.00000000000001
20 Feet High,"Casual Dining, Bar",4.0,932,1000.0,Yes,Yes,"American, Continental, Steak, Salad",Brigade Road,Church Street,4.0,4000.0,2800.0,1200.0,30.0
21 C - La Marvella Sarovar Premiere Hotel,Casual Dining,3.6,15,1000.0,No,No,Continental,Basavanagudi,Jayanagar,3.6,3600.0,2520.0,1080.0,30.0
24 Carats - The Capitol,Casual Dining,3.1,46,1000.0,No,No,"Asian, Continental",Brigade Road,Cunningham Road,3.1,3100.0,2170.0,930.0,30.0
24 Hours Cake Delivery,Delivery,3.3,4,700.0,No,No,Bakery,Indiranagar,Old Airport Road,3.3,2310.0,1617.0,693.0,30.0
24 Hours Coffee Drop - La Classic,Cafe,3.4,9,800.0,No,No,Cafe,Electronic City,Electronic City,3.4,2720.0,1903.9999999999998,816.0000000000002,30.00000000000001
24/7 - The Lalit Ashok Bangalore,Fine Dining,4.0,344,3000.0,No,Yes,"Continental, North Indian, Italian, Chinese",Malleshwaram,Seshadripuram,4.0,12000.0,8400.0,3600.0,30.0
24/7 Food Service,"Takeaway, Delivery",2.9,7,300.0,Yes,No,"South Indian, North Indian, Fast Food","Byresandra,Tavarekere,Madiwala",JP Nagar,2.9,870.0,609.0,261.0,30.0
24@43 - The Oterra,Fine Dining,4.1,268,3000.0,No,Yes,"North Indian, Asian, Continental",Electronic City,Electronic City,4.1,12299.999999999998,8609.999999999998,3690.0,30.000000000000004
24th Main,Casual Dining,4.1,1234,800.0,No,Yes,"North Indian, South Indian, Chinese",Bannerghatta Road,JP Nagar,4.1,3279.9999999999995,2295.9999999999995,984.0,30.000000000000004
29 Degrees North,Quick Bites,3.9,283,250.0,Yes,No,"North Indian, Fast Food, Street Food",Kalyan Nagar,Banaswadi,3.9,975.0,682.5,292.5,30.0
2nd Home Restaurant,Quick Bites,3.7,21,500.0,Yes,No,"South Indian, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",BTM,3.7,1850.0,1295.0,555.0,30.0
3 Leafs,Casual Dining,3.7,128,600.0,Yes,No,"North Indian, South Indian, Chinese",Marathahalli,Kaggadasapura,3.7,2220.0,1554.0,666.0,30.0
3 Spice,Casual Dining,3.9,156,450.0,Yes,No,"North Indian, Chinese",Koramangala 7th Block,Wilson Garden,3.9,1755.0,1228.5,526.5,30.0
30 Square,Quick Bites,4.2,556,400.0,Yes,No,"Tibetan, Nepalese, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,4.2,1680.0,1176.0,504.0,30.0
360 Atoms Restaurant And Cafe,Cafe,3.1,13,400.0,Yes,No,"Cafe, Chinese, Continental, Italian",Banashankari,Banashankari,3.1,1240.0,868.0,372.0,30.0
36th Cross Coffee Mane,Casual Dining,3.7,29,500.0,No,No,"North Indian, Chinese",JP Nagar,BTM,3.7,1850.0,1295.0,555.0,30.0
37 China Town,Casual Dining,3.5,58,900.0,No,No,"Chinese, Thai, North Indian, South Indian, Continental",Lavelle Road,Race Course Road,3.5,3150.0,2205.0,945.0,30.0
"3B's - Buddies, Bar & Barbecues","Casual Dining, Bar",4.4,1149,1100.0,No,Yes,"North Indian, Mediterranean, European, BBQ","Byresandra,Tavarekere,Madiwala",BTM,4.4,4840.0,3388.0,1452.0,30.0
3G's - Gulp & Groove,"Bar, Casual Dining",4.1,662,1100.0,Yes,Yes,"Finger Food, Continental, Chinese",Malleshwaram,Malleshwaram,4.1,4510.0,3157.0,1353.0,30.0
3rd Innings,"Casual Dining, Bar",3.0,17,1000.0,No,No,"Burger, Italian, North Indian, Chinese",Electronic City,Electronic City,3.0,3000.0,2100.0,900.0,30.0
4 Mangoes,Kiosk,3.7,14,200.0,No,No,Ice Cream,Indiranagar,Old Airport Road,3.7,740.0,518.0,222.0,30.0
4 Seasons Restaurant,Casual Dining,3.7,399,1000.0,Yes,Yes,"North Indian, Seafood, Middle Eastern, Chinese",Kalyan Nagar,Kalyan Nagar,3.7,3700.0,2590.0,1110.0,30.0
4 States,Food Court,3.2,4,400.0,No,No,South Indian,Sarjapur Road,Bellandur,3.2,1280.0,896.0,384.0,30.0
46 Ounces Brewgarden,Microbrewery,2.8,40,1600.0,No,Yes,"Bar Food, Finger Food, Pizza",Electronic City,Electronic City,2.8,4480.0,3136.0,1344.0,30.0
4700BC Popcorn,"Takeaway, Delivery",4.1,55,500.0,No,No,Fast Food,Whitefield,Whitefield,4.1,2050.0,1435.0,615.0,30.0
4Foodiez,Quick Bites,3.6,82,300.0,Yes,No,"South Indian, North Indian, Chinese",Electronic City,Electronic City,3.6,1080.0,756.0,324.0,30.0
4Foodiez - The Restaurant,Quick Bites,3.0,23,400.0,No,No,"Street Food, Chinese, North Indian, South Indian",Electronic City,Electronic City,3.0,1200.0,840.0,360.0,30.0
4K Biryani,Delivery,3.3,4,700.0,Yes,No,"North Indian, Chinese",HSR,HSR,3.3,2310.0,1617.0,693.0,30.0
4th Tea Block,Cafe,4.0,62,150.0,No,No,Cafe,Basavanagudi,Jayanagar,4.0,600.0,420.0,180.0,30.0
5 Star Food,Quick Bites,2.8,40,300.0,Yes,No,"South Indian, Fast Food",Frazer Town,Kammanahalli,2.8,840.0,588.0,252.0,30.0
50-50 EATING HOUSE,Quick Bites,3.2,4,100.0,No,No,"South Indian, Biryani",Banashankari,Basavanagudi,3.2,320.0,224.0,96.0,30.0
52 Wall Street,"Bar, Casual Dining",3.9,737,1400.0,No,No,"American, Continental, Finger Food","Byresandra,Tavarekere,Madiwala",Koramangala 6th Block,3.9,5460.0,3821.9999999999995,1638.0000000000005,30.00000000000001
55 Wall Street,Bar,3.9,1763,1300.0,No,Yes,"Finger Food, North Indian, Chinese",Bannerghatta Road,JP Nagar,3.9,5070.0,3549.0,1521.0,30.0
56 Bhoga Sweets,"Takeaway, Delivery",3.6,51,150.0,No,No,"Mithai, Street Food",HSR,HSR,3.6,540.0,378.0,162.0,30.0
5th Main Cafe,Cafe,3.5,15,250.0,No,No,"Cafe, Fast Food","Byresandra,Tavarekere,Madiwala",HSR,3.5,875.0,612.5,262.5,30.0
7 Days Restaurant,Quick Bites,3.8,478,400.0,Yes,No,"North Indian, Chinese, Arabian",Electronic City,Electronic City,3.8,1520.0,1064.0,456.0,30.0
7 Degrees North,Casual Dining,3.5,11,500.0,No,No,North Indian,HSR,HSR,3.5,1750.0,1225.0,525.0,30.0
7 Hills Andhra Mess,Mess,3.4,8,300.0,No,No,Andhra,Indiranagar,CV Raman Nagar,3.4,1020.0,714.0,306.0,30.0
7 Plates,Casual Dining,3.5,531,600.0,Yes,No,"North Indian, Mughlai, Rolls, Fast Food",Kammanahalli,Kalyan Nagar,3.5,2100.0,1470.0,630.0,30.0
7 Shanghai,Quick Bites,3.5,18,250.0,Yes,No,Chinese,Electronic City,Electronic City,3.5,875.0,612.5,262.5,30.0
7 Spice,Quick Bites,3.4,5,250.0,No,No,"Biryani, Chinese",Kalyan Nagar,Banaswadi,3.4,850.0,595.0,255.0,30.0
7 to 11 Food Court,Quick Bites,3.7,16,200.0,Yes,No,"Fast Food, Burger, North Indian, South Indian",Frazer Town,Banaswadi,3.7,740.0,518.0,222.0,30.0
70 Brigade - Iris Hotel,Casual Dining,3.9,105,1000.0,No,Yes,"Chinese, North Indian, Pizza",Brigade Road,Brigade Road,3.9,3900.0,2730.0,1170.0,30.0
7Biryanis,Casual Dining,3.2,4,600.0,Yes,No,"Andhra, Biryani",Kalyan Nagar,Nagawara,3.2,1920.0,1344.0,576.0,30.0
7th Heaven,Bakery,3.6,17,300.0,No,No,"Bakery, Desserts",New BEL Road,New BEL Road,3.6,1080.0,756.0,324.0,30.0
8 Slice,Delivery,3.7,74,600.0,Yes,No,Pizza,Brigade Road,Koramangala 6th Block,3.7,2220.0,1554.0,666.0,30.0
9 Bowls,Quick Bites,2.8,40,500.0,Yes,No,"Healthy Food, Continental, North Indian, Chinese",HSR,Koramangala 1st Block,2.8,1400.0,979.9999999999999,420.0000000000001,30.00000000000001
90's,Quick Bites,2.8,40,200.0,No,No,North Indian,HSR,HSR,2.8,560.0,392.0,168.0,30.0
90's Beer Cafe - Hotel Millennium Plaza,Bar,3.0,7,1000.0,No,No,Finger Food,Electronic City,Electronic City,3.0,3000.0,2100.0,900.0,30.0
90's Cafe,Quick Bites,2.8,40,500.0,No,No,"Fast Food, Burger",Jayanagar,JP Nagar,2.8,1400.0,979.9999999999999,420.0000000000001,30.00000000000001
99 Caffe,Quick Bites,3.6,106,250.0,Yes,No,"South Indian, North Indian, Chinese",Brookefield,Brookefield,3.6,900.0,630.0,270.0,30.0
99 Pancakes,Dessert Parlor,4.1,41,150.0,Yes,No,"Desserts, Ice Cream",Brigade Road,Church Street,4.1,615.0,430.5,184.5,30.0
99 Variety Dosa & Pav Bhaji,Quick Bites,3.8,16,250.0,Yes,No,"South Indian, North Indian, Street Food",Koramangala 5th Block,Koramangala 6th Block,3.8,950.0,665.0,285.0,30.0
99 Variety Dosa and Pav Bhaji,Quick Bites,4.0,101,250.0,Yes,No,"South Indian, North Indian, Street Food","Byresandra,Tavarekere,Madiwala",HSR,4.0,1000.0,700.0,300.0,30.0
99 Variety Dose-Biryanis-Starters,"Takeaway, Delivery",2.8,40,300.0,Yes,No,"South Indian, North Indian, Fast Food, Chinese",HSR,HSR,2.8,840.0,588.0,252.0,30.0
99Foods,Quick Bites,3.4,32,400.0,No,No,"Biryani, North Indian, Chinese, Kebab",Marathahalli,Marathahalli,3.4,1360.0,951.9999999999999,408.0000000000001,30.00000000000001
9D Foods,Quick Bites,4.0,458,400.0,Yes,No,"North Indian, Street Food",Brookefield,Marathahalli,4.0,1600.0,1120.0,480.0,30.0
9th Cross Cafe,Cafe,3.6,12,550.0,No,No,"Cafe, Italian, French",Indiranagar,Jeevan Bhima Nagar,3.6,1980.0,1386.0,594.0,30.0
A 1 Pizza and Food,Delivery,2.8,211,300.0,Yes,No,"Pizza, Chinese, North Indian",Indiranagar,Old Airport Road,2.8,840.0,588.0,252.0,30.0
A Bar,Bar,3.3,19,600.0,No,No,"North Indian, Continental","Byresandra,Tavarekere,Madiwala",HSR,3.3,1980.0,1386.0,594.0,30.0
A Hole Lotta Love Cafe,Cafe,4.3,2871,600.0,Yes,No,"Cafe, American, Burger, Sandwich, Beverages",Koramangala 4th Block,Koramangala 5th Block,4.3,2580.0,1805.9999999999998,774.0000000000002,30.00000000000001
A Little For Love,Bakery,3.4,12,350.0,No,No,Bakery,Kalyan Nagar,Hennur,3.4,1190.0,833.0,357.0,30.0
A M Biryani Hotel,Quick Bites,3.3,6,300.0,Yes,No,"North Indian, Chinese, Biryani, Fast Food",Bannerghatta Road,Bannerghatta Road,3.3,990.0,693.0,297.0,30.0
A Southern Fair,Casual Dining,3.0,19,750.0,Yes,No,"Biryani, Seafood, South Indian",Whitefield,Whitefield,3.0,2250.0,1575.0,675.0,30.0
A Today Thick Shakes,Beverage Shop,3.2,9,200.0,No,No,Beverages,Jayanagar,Koramangala 5th Block,3.2,640.0,448.0,192.0,30.0
A.M New Punjab Food Corner,Quick Bites,3.5,21,350.0,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,3.5,1225.0,857.5,367.5,30.0
A1 Ambur Dum Biryani And Parota Centre,Quick Bites,3.2,4,300.0,No,No,Biryani,Rajajinagar,Basaveshwara Nagar,3.2,960.0,672.0,288.0,30.0
A1 Biriyani Point,Quick Bites,3.0,10,200.0,No,No,Biryani,Malleshwaram,Seshadripuram,3.0,600.0,420.0,180.0,30.0
A1 Garam Masala,Casual Dining,3.6,25,500.0,Yes,No,"North Indian, Andhra, Chinese",JP Nagar,Kanakapura Road,3.6,1800.0,1260.0,540.0,30.0
A1 Hot Dum Biryani,Quick Bites,3.2,4,150.0,No,No,Biryani,Whitefield,Whitefield,3.2,480.0,336.0,144.0,30.0
A1 Spice Inn,Casual Dining,3.5,46,500.0,No,No,"Biryani, Chinese, Hyderabadi, North Indian, South Indian",Malleshwaram,Yeshwantpur,3.5,1750.0,1225.0,525.0,30.0
A2B - Adyar Ananda Bhavan,Casual Dining,2.5,544,400.0,Yes,No,"South Indian, North Indian, Chinese, Street Food, Fast Food",Whitefield,Whitefield,2.5,1000.0,700.0,300.0,30.0
A2B Veg - Adyar Ananda Bhavan,Casual Dining,2.7,97,400.0,Yes,No,"South Indian, Fast Food, Street Food",Basavanagudi,Basavanagudi,2.7,1080.0,756.0,324.0,30.0
A3 Nuwang Kitchen,Quick Bites,3.7,42,300.0,Yes,No,"Chinese, North Indian",Indiranagar,Ejipura,3.7,1110.0,777.0,333.0,30.0
Aaccord Restaurant,Casual Dining,2.8,40,600.0,No,No,"Continental, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",BTM,2.8,1680.0,1176.0,504.0,30.0
Aadhya Hotel,"Casual Dining, Bar",3.3,5,800.0,Yes,No,"South Indian, North Indian, Chinese, Biryani",Banashankari,Basavanagudi,3.3,2640.0,1847.9999999999998,792.0000000000002,30.00000000000001
Aadvik Nightfood,Delivery,3.6,22,350.0,Yes,No,Fast Food,Frazer Town,Frazer Town,3.6,1260.0,882.0,378.0,30.0
Aagaman Veg,Casual Dining,2.8,40,900.0,Yes,No,"North Indian, Chinese, South Indian",Electronic City,Electronic City,2.8,2520.0,1764.0,756.0,30.0
Aaha,Quick Bites,3.6,93,300.0,Yes,No,"North Indian, Chinese",Marathahalli,Brookefield,3.6,1080.0,756.0,324.0,30.0
Aaha Andhra,Casual Dining,3.4,58,900.0,No,No,"Andhra, Biryani, North Indian",Marathahalli,Marathahalli,3.4,3060.0,2142.0,918.0,30.0
Aahar Vihar,Quick Bites,4.0,68,250.0,Yes,No,North Indian,Brookefield,Marathahalli,4.0,1000.0,700.0,300.0,30.0
Aahara Vihar,Quick Bites,3.5,13,300.0,No,No,"South Indian, North Indian, Chinese",Malleshwaram,Malleshwaram,3.5,1050.0,735.0,315.0,30.0
Aaharam,Quick Bites,4.0,65,350.0,No,No,"Chinese, North Indian",HSR,Koramangala 1st Block,4.0,1400.0,979.9999999999999,420.0000000000001,30.00000000000001
Aalishan Restaurant & Caterer,Casual Dining,3.5,888,650.0,Yes,No,"North Indian, Mughlai","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,3.5,2275.0,1592.5,682.5,30.0
Aami Bangali,Casual Dining,3.0,66,700.0,Yes,No,Bengali,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,3.0,2100.0,1470.0,630.0,30.0
Aami Kolkata,Delivery,3.3,5,600.0,No,No,Bengali,Bannerghatta Road,Bannerghatta Road,3.3,1980.0,1386.0,594.0,30.0
Aao G Khao G,Quick Bites,3.5,11,200.0,Yes,No,"North Indian, Chinese",HSR,HSR,3.5,700.0,489.99999999999994,210.00000000000006,30.00000000000001
Aapni Rasoi,Quick Bites,3.2,127,400.0,Yes,No,North Indian,Bellandur,Bellandur,3.2,1280.0,896.0,384.0,30.0
Aaranya Restaurant,Casual Dining,3.4,212,800.0,Yes,No,"North Indian, Chinese, Mughlai","Byresandra,Tavarekere,Madiwala",HSR,3.4,2720.0,1903.9999999999998,816.0000000000002,30.00000000000001
Aarti Paratha & Rolls Corner,Quick Bites,3.6,15,200.0,Yes,No,"North Indian, Fast Food",New BEL Road,New BEL Road,3.6,720.0,503.99999999999994,216.00000000000006,30.00000000000001
Aarya Pork Hotel,Quick Bites,3.3,11,300.0,No,No,"South Indian, Biryani, Chinese","Byresandra,Tavarekere,Madiwala",BTM,3.3,990.0,693.0,297.0,30.0
Aashirvaad Restaurant,Quick Bites,3.1,249,300.0,Yes,No,"North Indian, Oriya, Chinese",Brookefield,Marathahalli,3.1,930.0,651.0,279.0,30.0
Aashish Foods,Quick Bites,2.7,35,150.0,Yes,No,North Indian,Brookefield,Brookefield,2.7,405.0,283.5,121.5,30.0
Aasife & Brothers Biriyani Centre,Casual Dining,3.8,120,600.0,Yes,No,"Biryani, North Indian, South Indian, Chinese","Byresandra,Tavarekere,Madiwala",HSR,3.8,2280.0,1596.0,684.0,30.0
Aastha Bengali Mess,Quick Bites,3.9,131,250.0,Yes,No,"Chinese, Bengali",Malleshwaram,Yeshwantpur,3.9,975.0,682.5,292.5,30.0
Aata's Kitchen,Quick Bites,2.8,40,250.0,Yes,No,"South Indian, North Indian","Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,2.8,700.0,489.99999999999994,210.00000000000006,30.00000000000001
Aathithya,Casual Dining,3.1,16,1100.0,No,No,"North Indian, Continental, Chinese",Brigade Road,Infantry Road,3.1,3410.0,2387.0,1023.0,30.0
Aathurar,Casual Dining,3.2,574,600.0,Yes,No,"Chettinad, Biryani, South Indian, Seafood",Indiranagar,Jeevan Bhima Nagar,3.2,1920.0,1344.0,576.0,30.0
Abbabi Chicken,Quick Bites,3.7,134,200.0,No,No,Fast Food,Sarjapur Road,Bellandur,3.7,740.0,518.0,222.0,30.0
ABC Grand,Casual Dining,3.5,54,400.0,No,No,"Andhra, Chinese, North Indian",Old Airport Road,Indiranagar,3.5,1400.0,979.9999999999999,420.0000000000001,30.00000000000001
Abhiruchi,Casual Dining,3.8,164,650.0,No,No,"Andhra, Seafood, North Indian, Chinese",Kalyan Nagar,Kammanahalli,3.8,2470.0,1729.0,741.0,30.0
Abhiruchi Andhra Mess,Mess,3.1,61,300.0,Yes,No,"Andhra, Biryani, South Indian",Whitefield,Whitefield,3.1,930.0,651.0,279.0,30.0
Abhiruchi Hotel,Casual Dining,3.2,12,500.0,Yes,No,"North Indian, South Indian, Chinese","Byresandra,Tavarekere,Madiwala",Bommanahalli,3.2,1600.0,1120.0,480.0,30.0
Abhiruchi Moonlight,"Takeaway, Delivery",3.3,4,300.0,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Bommanahalli,3.3,990.0,693.0,297.0,30.0
Abhiruchi Restaurant,Casual Dining,3.4,5,400.0,Yes,No,"Andhra, North Indian, Chinese",Bellandur,Sarjapur Road,3.4,1360.0,951.9999999999999,408.0000000000001,30.00000000000001
AB's - Absolute Barbecues,Casual Dining,4.6,1502,1400.0,No,Yes,"European, Mediterranean, North Indian, BBQ",Kalyan Nagar,Kalyan Nagar,4.6,6439.999999999999,4507.999999999999,1932.0,30.000000000000004
Absolute Chinese,Quick Bites,3.8,209,450.0,Yes,No,"Chinese, Fast Food, Momos",Malleshwaram,Rajajinagar,3.8,1710.0,1197.0,513.0,30.0
Absolute Shawarma,"Takeaway, Delivery",2.8,40,150.0,Yes,No,Lebanese,Brookefield,Brookefield,2.8,420.0,294.0,126.0,30.0
Absolute Waffles,Dessert Parlor,3.9,49,200.0,Yes,No,"Desserts, Fast Food",Malleshwaram,New BEL Road,3.9,780.0,546.0,234.0,30.0
Aburrahaman,Delivery,2.8,40,400.0,No,No,"North Indian, South Indian, Chinese",Indiranagar,Thippasandra,2.8,1120.0,784.0,336.0,30.0
Abzain Paradise,Quick Bites,2.9,42,300.0,No,No,North Indian,New BEL Road,Sanjay Nagar,2.9,870.0,609.0,261.0,30.0
Achayyan's,Quick Bites,3.8,405,350.0,Yes,No,"Kerala, South Indian",Indiranagar,Indiranagar,3.8,1330.0,930.9999999999999,399.0000000000001,30.00000000000001
Ackley Kitchen,Quick Bites,3.6,33,500.0,Yes,No,"Fast Food, Continental, Burger",Marathahalli,Kaggadasapura,3.6,1800.0,1260.0,540.0,30.0
Adarsh Bakery,Bakery,3.1,10,300.0,No,No,"Bakery, Fast Food",Electronic City,Electronic City,3.1,930.0,651.0,279.0,30.0
Adda,Quick Bites,3.3,5,300.0,No,No,South Indian,Basavanagudi,Shanti Nagar,3.3,990.0,693.0,297.0,30.0
Addhuri Udupi Bhojana,Quick Bites,3.7,88,300.0,No,No,"South Indian, North Indian",Banashankari,Banashankari,3.7,1110.0,777.0,333.0,30.0
Adiga's,Quick Bites,3.3,55,150.0,No,No,South Indian,Basavanagudi,Jayanagar,3.3,495.0,346.5,148.5,30.0
Adi's Cake N Cafe,Bakery,3.3,4,400.0,No,No,Bakery,"Byresandra,Tavarekere,Madiwala",Bannerghatta Road,3.3,1320.0,923.9999999999999,396.0000000000001,30.00000000000001
Adithya,Casual Dining,3.9,178,450.0,Yes,No,"South Indian, North Indian, Chinese",Bannerghatta Road,JP Nagar,3.9,1755.0,1228.5,526.5,30.0
Adithya Family Restaurant,Quick Bites,3.7,27,250.0,No,No,South Indian,"Byresandra,Tavarekere,Madiwala",BTM,3.7,925.0,647.5,277.5,30.0
Adithya Tiffin Centre,"Takeaway, Delivery",2.8,40,200.0,No,No,North Indian,Brigade Road,Shanti Nagar,2.8,560.0,392.0,168.0,30.0
Adithya Veg,Quick Bites,3.3,10,300.0,No,No,"South Indian, Chinese",Basavanagudi,Jayanagar,3.3,990.0,693.0,297.0,30.0
Aditya Delights,Quick Bites,3.7,59,300.0,No,No,"Chinese, North Indian, Mangalorean",New BEL Road,New BEL Road,3.7,1110.0,777.0,333.0,30.0
Aditya Sweets,Sweet Shop,3.7,21,200.0,Yes,No,"Mithai, Fast Food",Brookefield,Whitefield,3.7,740.0,518.0,222.0,30.0
Aditya Uphar,Quick Bites,3.5,30,200.0,No,No,"South Indian, Chinese, North Indian",JP Nagar,JP Nagar,3.5,700.0,489.99999999999994,210.00000000000006,30.00000000000001
Adukkala Restaurant,Casual Dining,2.9,128,600.0,Yes,No,Kerala,Kammanahalli,Banaswadi,2.9,1740.0,1218.0,522.0,30.0
Adupadi,Quick Bites,2.9,25,450.0,No,No,"South Indian, Chettinad",Whitefield,Whitefield,2.9,1305.0,913.4999999999999,391.5000000000001,30.00000000000001
Advika Briyani Center,Delivery,3.2,10,300.0,No,No,Biryani,JP Nagar,JP Nagar,3.2,960.0,672.0,288.0,30.0
Adya Hotel,Quick Bites,3.3,4,400.0,No,No,"South Indian, North Indian, Chinese",Electronic City,Electronic City,3.3,1320.0,923.9999999999999,396.0000000000001,30.00000000000001
Adyar Anand Bhavan Sweets,Quick Bites,2.8,40,200.0,No,No,"South Indian, North Indian, Chinese, Street Food",Electronic City,Electronic City,2.8,560.0,392.0,168.0,30.0
Adyar Ananda Bhavan - Sweets,"Takeaway, Delivery",3.4,6,200.0,Yes,No,"Mithai, Desserts","Byresandra,Tavarekere,Madiwala",BTM,3.4,680.0,475.99999999999994,204.00000000000006,30.00000000000001
Adyar Ananda Bhavan Sweets,"Takeaway, Delivery",3.6,4,200.0,Yes,No,"Mithai, Desserts",JP Nagar,JP Nagar,3.6,720.0,503.99999999999994,216.00000000000006,30.00000000000001
Afghani Tandoori Hub,Quick Bites,3.6,14,400.0,Yes,No,"Arabian, Afghan","Byresandra,Tavarekere,Madiwala",BTM,3.6,1440.0,1007.9999999999999,432.0000000000001,30.00000000000001
